generation rock paper scissors lizzard spock
195 11809 30330 66854 499 50708
196 11613 30315 65170 495 52607
197 11452 30296 63484 504 54464
198 11256 30329 61756 501 56358
199 11051 30472 59932 506 58239
200 10788 30725 58205 499 59983
201 10527 30948 56520 500 61705
202 10231 31374 54738 512 63345
203 9934 31911 52968 531 64856
204 9569 32473 51292 535 66331
205 9232 33078 49588 548 67754
206 8935 33752 47934 562 69017
207 8579 34609 46243 594 70175
208 8257 35628 44647 631 71037
209 7874 36622 43286 656 71762
210 7481 37650 41864 681 72524
211 7129 38727 40569 710 73065
212 6775 39825 39363 738 73499
213 6428 41070 38156 787 73759
214 6042 42342 37026 825 73965
215 5710 43832 36017 882 73759
216 5339 45340 35154 930 73437
217 5015 46712 34303 975 73195
218 4685 48350 33498 1029 72638
219 4413 50007 32750 1088 71942
220 4079 51726 32120 1177 71098
221 3797 53350 31576 1269 70208
222 3541 54963 31202 1331 69163
223 3298 56848 30873 1437 67744
224 3036 58649 30613 1546 66356
225 2840 60376 30359 1660 64965
226 2640 62086 30215 1745 63514
227 2446 63659 30248 1898 61949
228 2281 65293 30296 2053 60277
229 2139 66738 30483 2196 58644
230 1996 68116 30782 2374 56932
231 1868 69331 31104 2542 55355
232 1716 70553 31543 2743 53645
233 1593 71556 32102 2954 51995
234 1467 72518 32746 3154 50315
235 1380 73381 33465 3384 48590
236 1268 74110 34125 3617 47080
237 1174 74615 34988 3844 45579
238 1100 74950 35828 4082 44240
239 1027 75281 36729 4366 42797
240 984 75294 37766 4664 41492
241 925 75256 38901 5008 40110
242 875 75024 40046 5292 38963
243 818 74492 41460 5597 37833
244 780 73845 42945 5913 36717
245 737 73077 44350 6293 35743
246 678 72237 45779 6622 34884
247 656 71199 47287 6912 34146
248 634 70181 48843 7192 33350
249 605 68920 50431 7500 32744
250 580 67570 52076 7802 32172
251 556 66066 53879 8068 31631
252 537 64484 55754 8297 31128
253 531 62745 57629 8528 30767
254 530 61045 59338 8755 30532
255 525 59257 61078 8965 30375
256 509 57397 62923 9126 30245
257 500 55473 64724 9280 30223
258 490 53552 66523 9406 30229
259 495 51552 68256 9523 30374
260 489 49647 69821 9632 30611
261 497 47828 71268 9696 30911
262 502 45877 72797 9704 31320
263 511 43994 74089 9676 31930
264 518 42291 75244 9637 32510
265 521 40701 76284 9565 33129
266 530 39123 77154 9530 33863
267 534 37513 77905 9502 34746
268 532 36168 78443 9442 35615
269 534 34834 79015 9378 36439
270 522 33548 79355 9302 37473
271 529 32263 79598 9211 38599
272 540 31062 79664 9164 39770
273 543 29875 79727 9094 40961
274 550 28873 79500 9029 42248
275 557 27783 79183 8979 43698
276 560 26811 78634 8943 45252
277 564 26022 77929 8870 46815
278 572 25155 77265 8827 48381
279 573 24426 76358 8803 50040
280 589 23854 75266 8795 51696
281 607 23281 74033 8803 53476
282 614 22817 72684 8839 55246
283 611 22446 71170 8850 57123
284 595 22131 69690 8827 58957
285 586 21782 68116 8908 60808
286 587 21457 66553 9073 62530
287 574 21383 64823 9171 64249
288 567 21306 62984 9322 66021
289 565 21276 61143 9513 67703
290 552 21416 59354 9656 69222
291 540 21385 57589 9959 70727
292 531 21490 55876 10225 72078
293 512 21615 54009 10608 73456
294 497 21807 52293 10940 74663
295 475 22034 50557 11336 75798
296 462 22292 48888 11736 76822
297 445 22503 47339 12199 77714
298 441 22867 45674 12748 78470
299 422 23305 44238 13301 78934
300 397 23799 42689 13892 79423
301 391 24334 41196 14485 79794
302 365 24826 39859 15217 79933
303 345 25332 38553 16084 79886
304 332 25868 37415 17016 79569
305 312 26370 36372 17991 79155
306 297 26827 35417 19045 78614
307 290 27387 34494 20089 77940
308 273 27890 33687 21135 77215
309 263 28402 32969 22322 76244
310 255 28974 32243 23543 75185
311 246 29476 31700 24809 73969
312 233 29800 31319 26250 72598
313 230 30155 30800 27769 71246
314 225 30546 30536 29360 69533
315 215 30781 30301 30959 67944
316 203 30922 30122 32678 66275
317 198 31093 30023 34343 64543
318 190 31108 30086 36174 62642
319 186 30961 30288 37923 60842
320 187 30693 30534 39739 59047
321 184 30350 30818 41559 57289
322 175 29914 31242 43389 55480
323 174 29369 31761 45173 53723
324 168 28715 32290 46949 52078
325 171 28134 32852 48737 50306
326 163 27362 33556 50475 48644
327 160 26427 34472 52099 47042
328 161 25494 35380 53691 45474
329 159 24635 36342 55192 43872
330 163 23775 37278 56521 42463
331 172 22767 38427 57708 41126
332 178 21652 39793 58740 39837
333 176 20690 41113 59594 38627
334 186 19715 42450 60348 37501
335 196 18707 43881 61057 36359
336 204 17738 45313 61532 35413
337 212 16803 46907 61819 34459
338 222 15863 48508 61906 33701
339 223 14900 50208 61918 32951
340 230 13999 52076 61581 32314
341 244 13147 53854 61108 31847
342 266 12309 55671 60555 31399
343 292 11491 57443 59847 31127
344 320 10727 59268 59026 30859
345 328 10029 60958 58178 30707
346 344 9358 62700 57222 30576
347 367 8737 64479 56157 30460
348 387 8142 66109 55068 30494
349 405 7590 67648 53903 30654
350 426 7083 69250 52568 30873
351 455 6610 70707 51344 31084
352 488 6124 72279 49942 31367
353 516 5636 73645 48532 31871
354 563 5327 74819 47195 32296
355 602 4951 75925 45951 32771
356 643 4630 76925 44419 33583
357 724 4290 77852 43114 34220
358 780 3958 78420 41880 35162
359 850 3694 78928 40520 36208
360 906 3495 79257 39153 37389
361 966 3272 79397 38053 38512
362 1056 3053 79451 36860 39780
363 1140 2905 79194 35844 41117
364 1203 2758 78938 34809 42492
365 1298 2614 78534 33822 43932
366 1374 2486 77912 32974 45454
367 1435 2372 77120 32335 46938
368 1486 2266 76259 31643 48546
369 1541 2173 75292 31087 50107
370 1602 2104 73946 30634 51914
371 1666 2028 72655 30243 53608
372 1709 1958 71369 29858 55306
373 1795 1869 69887 29414 57235
374 1836 1798 68319 29108 59139
375 1896 1747 66693 28889 60975
376 1942 1724 65024 28761 62749
377 1982 1708 63249 28813 64448
378 2016 1670 61428 28828 66258
379 2053 1623 59578 28920 68026
380 2065 1597 57797 29218 69523
381 2106 1573 56028 29564 70929
382 2142 1575 54160 29990 72333
383 2142 1551 52353 30405 73749
384 2149 1532 50566 31008 74945
385 2171 1537 48840 31598 76054
386 2180 1562 47167 32327 76964
387 2168 1552 45500 33172 77808
388 2151 1560 43831 34046 78612
389 2137 1549 42292 34982 79240
390 2163 1569 40849 35977 79642
391 2172 1561 39588 36979 79900
392 2178 1555 38299 38115 80053
393 2182 1551 36914 39443 80110
394 2167 1536 35863 40652 79982
395 2181 1526 34805 42152 79536
396 2173 1521 33847 43604 79055
397 2174 1545 32893 45183 78405
398 2213 1536 32025 46754 77672
399 2218 1537 31277 48399 76769
400 2247 1516 30608 50143 75686
401 2248 1501 30071 51926 74454
402 2245 1504 29552 53719 73180
403 2264 1488 29122 55556 71770
404 2282 1471 28750 57490 70207
405 2319 1447 28442 59182 68810
406 2339 1447 28279 60875 67260
407 2370 1446 28179 62648 65557
408 2416 1424 28110 64531 63719
409 2501 1383 28184 66194 61938
410 2549 1354 28321 67816 60160
