generation rock paper scissors lizzard spock
7954 42155 45240 0 72805 0
7955 43055 44096 0 73049 0
7956 44130 42985 0 73085 0
7957 45092 42187 0 72921 0
7958 46214 41247 0 72739 0
7959 47423 40477 0 72300 0
7960 48664 39743 0 71793 0
7961 49867 38942 0 71391 0
7962 51051 38325 0 70824 0
7963 52372 37811 0 70017 0
7964 53705 37380 0 69115 0
7965 55014 36992 0 68194 0
7966 56266 36692 0 67242 0
7967 57641 36467 0 66092 0
7968 58935 36211 0 65054 0
7969 60154 36149 0 63897 0
7970 61469 36071 0 62660 0
7971 62802 36095 0 61303 0
7972 64010 36144 0 60046 0
7973 65178 36303 0 58719 0
7974 66375 36488 0 57337 0
7975 67386 36766 0 56048 0
7976 68464 37096 0 54640 0
7977 69467 37452 0 53281 0
7978 70249 37943 0 52008 0
7979 70955 38626 0 50619 0
7980 71704 39282 0 49214 0
7981 72209 39995 0 47996 0
7982 72654 40740 0 46806 0
7983 72938 41576 0 45686 0
7984 73053 42540 0 44607 0
7985 73144 43522 0 43534 0
7986 73099 44500 0 42601 0
7987 73002 45592 0 41606 0
7988 72853 46692 0 40655 0
7989 72373 47818 0 40009 0
7990 71783 49134 0 39283 0
7991 71212 50414 0 38574 0
7992 70550 51656 0 37994 0
7993 69802 53046 0 37352 0
7994 68920 54467 0 36813 0
7995 67806 55942 0 36452 0
7996 66642 57338 0 36220 0
7997 65392 58785 0 36023 0
7998 64168 60101 0 35931 0
7999 62951 61500 0 35749 0
8000 61705 62722 0 35773 0
8001 60263 64143 0 35794 0
8002 58893 65387 0 35920 0
8003 57447 66559 0 36194 0
8004 56053 67618 0 36529 0
8005 54665 68727 0 36808 0
8006 53163 69843 0 37194 0
8007 51813 70615 0 37772 0
8008 50555 71206 0 38439 0
8009 49423 71879 0 38898 0
8010 48235 72302 0 39663 0
8011 47095 72685 0 40420 0
8012 45945 73060 0 41195 0
8013 44821 73230 0 42149 0
8014 43759 73290 0 43151 0
8015 42758 73265 0 44177 0
8016 41885 73166 0 45149 0
8017 40992 72993 0 46215 0
8018 40158 72572 0 47470 0
8019 39337 72160 0 48703 0
8020 38623 71540 0 50037 0
8021 37999 70802 0 51399 0
8022 37472 70098 0 52630 0
8023 36949 69241 0 54010 0
8024 36660 68239 0 55301 0
8025 36374 67132 0 56694 0
8026 36056 66028 0 58116 0
8027 35808 64836 0 59556 0
8028 35735 63570 0 60895 0
8029 35684 62276 0 62240 0
8030 35777 60877 0 63546 0
8031 35848 59572 0 64780 0
8032 35968 58284 0 65948 0
8033 36176 56997 0 67027 0
8034 36381 55619 0 68200 0
8035 36785 54183 0 69232 0
8036 37288 52864 0 70048 0
8037 37895 51515 0 70790 0
8038 38450 50317 0 71433 0
8039 39111 49149 0 71940 0
8040 39870 47890 0 72440 0
8041 40705 46692 0 72803 0
8042 41601 45528 0 73071 0
8043 42526 44484 0 73190 0
8044 43517 43507 0 73176 0
8045 44377 42628 0 73195 0
8046 45467 41710 0 73023 0
8047 46688 40866 0 72646 0
8048 47951 40077 0 72172 0
8049 49109 39250 0 71841 0
8050 50319 38519 0 71362 0
8051 51564 37993 0 70643 0
8052 52804 37520 0 69876 0
8053 54168 37084 0 68948 0
8054 55552 36707 0 67941 0
8055 56929 36339 0 66932 0
8056 58268 36093 0 65839 0
8057 59654 35897 0 64649 0
8058 61018 35790 0 63392 0
8059 62298 35690 0 62212 0
8060 63555 35731 0 60914 0
8061 64728 35895 0 59577 0
8062 65927 36053 0 58220 0
8063 67042 36268 0 56890 0
8064 68094 36590 0 55516 0
8065 69025 36924 0 54251 0
8066 69912 37389 0 52899 0
8067 70755 37884 0 51561 0
8068 71334 38544 0 50322 0
8069 72116 39060 0 49024 0
8070 72741 39773 0 47686 0
8071 73067 40652 0 46481 0
8072 73380 41431 0 45389 0
8073 73506 42433 0 44261 0
8074 73536 43481 0 43183 0
8075 73415 44598 0 42187 0
8076 73149 45791 0 41260 0
8077 72816 46966 0 40418 0
8078 72220 48353 0 39627 0
8079 71841 49506 0 38853 0
8080 71186 50722 0 38292 0
8081 70354 52064 0 37782 0
8082 69654 53365 0 37181 0
8083 68644 54784 0 36772 0
8084 67629 56257 0 36314 0
8085 66629 57548 0 36023 0
8086 65425 58848 0 35927 0
8087 64242 60149 0 35809 0
8088 62910 61616 0 35674 0
8089 61605 62867 0 35728 0
8090 60200 64169 0 35831 0
8091 58840 65328 0 36032 0
8092 57579 66376 0 36245 0
8093 56272 67342 0 36586 0
8094 54888 68237 0 37075 0
8095 53558 69092 0 37550 0
8096 52201 69996 0 38003 0
8097 50935 70653 0 38612 0
8098 49759 71309 0 39132 0
8099 48668 71670 0 39862 0
8100 47404 72227 0 40569 0
8101 46232 72646 0 41322 0
8102 45171 72913 0 42116 0
8103 44145 72957 0 43098 0
8104 43164 72901 0 44135 0
8105 42189 72852 0 45159 0
8106 41410 72532 0 46258 0
8107 40569 72309 0 47322 0
8108 39833 71834 0 48533 0
8109 39153 71303 0 49744 0
8110 38553 70734 0 50913 0
8111 37950 70096 0 52154 0
8112 37472 69258 0 53470 0
8113 37081 68383 0 54736 0
8114 36755 67446 0 55999 0
8115 36494 66357 0 57349 0
8116 36279 65255 0 58666 0
8117 36166 64092 0 59942 0
8118 35986 62902 0 61312 0
8119 35957 61593 0 62650 0
8120 36074 60367 0 63759 0
8121 36309 58957 0 64934 0
8122 36477 57688 0 66035 0
8123 36675 56351 0 67174 0
8124 37013 55001 0 68186 0
8125 37505 53573 0 69122 0
8126 38044 52155 0 70001 0
8127 38704 50910 0 70586 0
8128 39250 49752 0 71198 0
8129 39966 48543 0 71691 0
8130 40615 47455 0 72130 0
8131 41456 46243 0 72501 0
8132 42281 45080 0 72839 0
8133 43366 44036 0 72798 0
8134 44294 43063 0 72843 0
8135 45258 42086 0 72856 0
8136 46354 41292 0 72554 0
8137 47478 40508 0 72214 0
8138 48577 39773 0 71850 0
8139 49707 39075 0 71418 0
8140 50903 38378 0 70919 0
8141 52251 37789 0 70160 0
8142 53625 37272 0 69303 0
8143 54937 36802 0 68461 0
8144 56404 36491 0 67305 0
8145 57778 36240 0 66182 0
8146 59079 36068 0 65053 0
8147 60365 36044 0 63791 0
8148 61759 35952 0 62489 0
8149 63012 35894 0 61294 0
8150 64263 35997 0 59940 0
8151 65552 36166 0 58482 0
8152 66643 36312 0 57245 0
8153 67694 36619 0 55887 0
8154 68702 36951 0 54547 0
8155 69644 37377 0 53179 0
8156 70452 37815 0 51933 0
8157 71186 38362 0 50652 0
8158 71765 38998 0 49437 0
8159 72459 39595 0 48146 0
8160 72842 40366 0 46992 0
8161 73222 41101 0 45877 0
8162 73481 41861 0 44858 0
8163 73630 42879 0 43691 0
8164 73649 43821 0 42730 0
8165 73514 44906 0 41780 0
8166 73302 45973 0 40925 0
8167 72933 47225 0 40042 0
8168 72462 48464 0 39274 0
8169 71912 49809 0 38479 0
8170 71280 51130 0 37790 0
8171 70388 52496 0 37316 0
8172 69468 53916 0 36816 0
8173 68489 55308 0 36403 0
8174 67437 56703 0 36060 0
8175 66324 58071 0 35805 0
8176 65076 59593 0 35531 0
8177 63882 60906 0 35412 0
8178 62617 62262 0 35321 0
8179 61339 63428 0 35433 0
8180 60023 64718 0 35459 0
8181 58610 65963 0 35627 0
8182 57296 67108 0 35796 0
8183 55889 68326 0 35985 0
8184 54579 69320 0 36301 0
8185 53081 70334 0 36785 0
8186 51723 71203 0 37274 0
8187 50410 71893 0 37897 0
8188 49137 72519 0 38544 0
8189 47885 73023 0 39292 0
8190 46702 73393 0 40105 0
8191 45471 73766 0 40963 0
8192 44351 73943 0 41906 0
8193 43264 73956 0 42980 0
8194 42208 73919 0 44073 0
8195 41259 73547 0 45394 0
8196 40436 73241 0 46523 0
8197 39661 72839 0 47700 0
8198 38814 72479 0 48907 0
8199 38102 71771 0 50327 0
8200 37536 70966 0 51698 0
8201 37013 70018 0 53169 0
8202 36632 69035 0 54533 0
8203 36297 67963 0 55940 0
8204 35931 67006 0 57263 0
8205 35702 65843 0 58655 0
8206 35532 64593 0 60075 0
8207 35447 63179 0 61574 0
8208 35331 61909 0 62960 0
8209 35410 60634 0 64156 0
8210 35611 59163 0 65426 0
8211 35852 57779 0 66569 0
8212 36124 56429 0 67647 0
8213 36493 55041 0 68666 0
8214 36903 53648 0 69649 0
8215 37340 52174 0 70686 0
8216 37864 50823 0 71513 0
8217 38473 49535 0 72192 0
8218 39167 48353 0 72680 0
8219 40006 47087 0 73107 0
8220 40843 45938 0 73419 0
8221 41641 44884 0 73675 0
8222 42578 43779 0 73843 0
8223 43607 42770 0 73823 0
8224 44642 41802 0 73756 0
8225 45709 40981 0 73510 0
8226 46858 40251 0 73091 0
8227 48154 39430 0 72616 0
8228 49497 38623 0 72080 0
8229 50896 37956 0 71348 0
8230 52234 37435 0 70531 0
8231 53574 37008 0 69618 0
8232 55004 36513 0 68683 0
8233 56397 36124 0 67679 0
8234 57841 35852 0 66507 0
8235 59127 35677 0 65396 0
8236 60519 35517 0 64164 0
8237 61788 35439 0 62973 0
8238 63063 35402 0 61735 0
8239 64410 35420 0 60370 0
8240 65665 35543 0 58992 0
8241 66913 35706 0 57581 0
8242 67987 36014 0 56199 0
8243 69018 36398 0 54784 0
8244 69940 36848 0 53412 0
8245 70757 37286 0 52157 0
8246 71612 37850 0 50738 0
8247 72334 38432 0 49434 0
8248 72891 39126 0 48183 0
8249 73229 40006 0 46965 0
8250 73511 40817 0 45872 0
8251 73746 41764 0 44690 0
8252 73780 42764 0 43656 0
8253 73779 43832 0 42589 0
8254 73619 45035 0 41546 0
8255 73267 46198 0 40735 0
8256 72944 47410 0 39846 0
8257 72562 48525 0 39113 0
8258 71926 49817 0 38457 0
8259 71243 51123 0 37834 0
8260 70357 52564 0 37279 0
8261 69477 53966 0 36757 0
8262 68626 55231 0 36343 0
8263 67690 56519 0 35991 0
8264 66568 57964 0 35668 0
8265 65316 59396 0 35488 0
8266 64075 60636 0 35489 0
8267 62820 61967 0 35413 0
8268 61550 63316 0 35334 0
8269 60152 64578 0 35470 0
8270 58780 65783 0 35637 0
8271 57332 66976 0 35892 0
8272 55967 68010 0 36223 0
8273 54627 68932 0 36641 0
8274 53230 69918 0 37052 0
8275 51822 70792 0 37586 0
8276 50428 71534 0 38238 0
8277 49218 72091 0 38891 0
8278 47873 72755 0 39572 0
8279 46589 73210 0 40401 0
8280 45316 73483 0 41401 0
8281 44241 73764 0 42195 0
8282 43240 73748 0 43212 0
8283 42323 73551 0 44326 0
8284 41418 73345 0 45437 0
8285 40546 73063 0 46591 0
8286 39721 72598 0 47881 0
8287 39021 71980 0 49199 0
8288 38457 71230 0 50513 0
8289 37916 70553 0 51731 0
8290 37414 69662 0 53124 0
8291 36984 68807 0 54409 0
8292 36534 67776 0 55890 0
8293 36189 66735 0 57276 0
8294 36004 65644 0 58552 0
8295 35879 64418 0 59903 0
8296 35813 63217 0 61170 0
8297 35761 61993 0 62446 0
8298 35853 60634 0 63713 0
8299 35979 59273 0 64948 0
8300 36290 57854 0 66056 0
8301 36632 56480 0 67088 0
8302 37047 55119 0 68034 0
8303 37450 53729 0 69021 0
8304 37985 52400 0 69815 0
8305 38495 51095 0 70610 0
8306 39062 49890 0 71248 0
8307 39717 48712 0 71771 0
8308 40424 47605 0 72171 0
8309 41269 46497 0 72434 0
8310 42080 45347 0 72773 0
8311 43017 44234 0 72949 0
8312 43910 43317 0 72973 0
8313 45169 42257 0 72774 0
8314 46213 41436 0 72551 0
8315 47267 40687 0 72246 0
8316 48417 39937 0 71846 0
8317 49620 39263 0 71317 0
8318 50871 38586 0 70743 0
8319 52141 38085 0 69974 0
8320 53372 37562 0 69266 0
8321 54771 37124 0 68305 0
8322 56100 36706 0 67394 0
8323 57474 36441 0 66285 0
8324 58758 36254 0 65188 0
8325 60047 36183 0 63970 0
8326 61367 36103 0 62730 0
8327 62681 36119 0 61400 0
8328 63730 36224 0 60246 0
8329 64880 36331 0 58989 0
8330 65988 36588 0 57624 0
8331 67066 36861 0 56273 0
8332 68081 37214 0 54905 0
8333 69037 37572 0 53591 0
8334 69846 38139 0 52215 0
8335 70530 38746 0 50924 0
8336 71062 39444 0 49694 0
8337 71645 40182 0 48373 0
8338 72098 40899 0 47203 0
8339 72378 41814 0 46008 0
8340 72558 42723 0 44919 0
8341 72565 43740 0 43895 0
8342 72499 44811 0 42890 0
8343 72367 45903 0 41930 0
8344 72023 47062 0 41115 0
8345 71478 48278 0 40444 0
8346 70917 49516 0 39767 0
8347 70449 50640 0 39111 0
8348 69795 51831 0 38574 0
8349 68953 53086 0 38161 0
8350 68095 54351 0 37754 0
8351 67271 55646 0 37283 0
8352 66224 56949 0 37027 0
8353 65154 58215 0 36831 0
8354 64090 59400 0 36710 0
8355 62918 60684 0 36598 0
8356 61718 61967 0 36515 0
8357 60638 63109 0 36453 0
8358 59332 64394 0 36474 0
8359 57978 65525 0 36697 0
8360 56751 66550 0 36899 0
8361 55449 67435 0 37316 0
8362 54041 68414 0 37745 0
8363 52772 69253 0 38175 0
8364 51587 69863 0 38750 0
8365 50398 70427 0 39375 0
8366 49118 71086 0 39996 0
8367 47893 71554 0 40753 0
8368 46750 71939 0 41511 0
8369 45689 72242 0 42269 0
8370 44726 72248 0 43226 0
8371 43785 72182 0 44233 0
8372 42901 72044 0 45255 0
8373 42119 71854 0 46227 0
8374 41314 71530 0 47356 0
8375 40566 71202 0 48432 0
8376 40015 70595 0 49590 0
8377 39439 69892 0 50869 0
8378 38968 69158 0 52074 0
8379 38462 68552 0 53186 0
8380 38062 67720 0 54418 0
8381 37796 66702 0 55702 0
8382 37435 65800 0 56965 0
8383 37086 64960 0 58154 0
8384 36879 63845 0 59476 0
8385 36738 62702 0 60760 0
8386 36612 61593 0 61995 0
8387 36634 60368 0 63198 0
8388 36809 59120 0 64271 0
8389 36984 57913 0 65303 0
8390 37243 56589 0 66368 0
8391 37600 55325 0 67275 0
8392 38006 54052 0 68142 0
8393 38512 52797 0 68891 0
8394 39104 51469 0 69627 0
8395 39736 50174 0 70290 0
8396 40419 48932 0 70849 0
8397 41220 47717 0 71263 0
8398 41939 46670 0 71591 0
8399 42789 45615 0 71796 0
8400 43663 44546 0 71991 0
8401 44701 43630 0 71869 0
8402 45719 42735 0 71746 0
8403 46738 41847 0 71615 0
8404 47812 41058 0 71330 0
8405 48908 40385 0 70907 0
8406 50035 39748 0 70417 0
8407 51263 39273 0 69664 0
8408 52509 38720 0 68971 0
8409 53737 38275 0 68188 0
8410 54987 37965 0 67248 0
8411 56224 37595 0 66381 0
8412 57528 37277 0 65395 0
8413 58793 37047 0 64360 0
8414 60065 36888 0 63247 0
8415 61219 36806 0 62175 0
8416 62475 36770 0 60955 0
8417 63594 36904 0 59702 0
8418 64645 37118 0 58437 0
8419 65638 37233 0 57329 0
8420 66756 37384 0 56060 0
8421 67620 37670 0 54910 0
8422 68568 38056 0 53576 0
8423 69255 38597 0 52348 0
8424 70012 39061 0 51127 0
8425 70505 39714 0 49981 0
8426 71014 40380 0 48806 0
8427 71449 41106 0 47645 0
8428 71903 41876 0 46421 0
8429 71998 42705 0 45497 0
8430 72099 43727 0 44374 0
8431 72068 44716 0 43416 0
8432 72049 45641 0 42510 0
8433 71795 46761 0 41644 0
8434 71440 47833 0 40927 0
8435 70930 49087 0 40183 0
8436 70411 50220 0 39569 0
8437 69891 51441 0 38868 0
8438 69154 52748 0 38298 0
8439 68351 54100 0 37749 0
8440 67382 55378 0 37440 0
8441 66455 56685 0 37060 0
8442 65417 58022 0 36761 0
8443 64263 59261 0 36676 0
8444 63053 60477 0 36670 0
8445 61859 61734 0 36607 0
8446 60742 62861 0 36597 0
8447 59461 64041 0 36698 0
8448 58194 65188 0 36818 0
8449 56897 66178 0 37125 0
8450 55650 67090 0 37460 0
8451 54306 68057 0 37837 0
8452 52975 68917 0 38308 0
8453 51789 69653 0 38758 0
8454 50692 70183 0 39325 0
8455 49463 70767 0 39970 0
8456 48370 71130 0 40700 0
8457 47149 71682 0 41369 0
8458 46060 72074 0 42066 0
8459 44918 72254 0 43028 0
8460 43883 72301 0 44016 0
8461 42956 72169 0 45075 0
8462 42088 72001 0 46111 0
8463 41276 71782 0 47142 0
8464 40499 71370 0 48331 0
8465 39804 70905 0 49491 0
8466 39168 70259 0 50773 0
8467 38669 69550 0 51981 0
8468 38119 68875 0 53206 0
8469 37685 68036 0 54479 0
8470 37495 67022 0 55683 0
8471 37259 66054 0 56887 0
8472 37027 65057 0 58116 0
8473 36797 63998 0 59405 0
8474 36604 62844 0 60752 0
8475 36640 61606 0 61954 0
8476 36625 60250 0 63325 0
8477 36849 58987 0 64364 0
8478 37010 57849 0 65341 0
8479 37297 56526 0 66377 0
8480 37594 55182 0 67424 0
8481 38034 53917 0 68249 0
8482 38473 52620 0 69107 0
8483 39046 51361 0 69793 0
8484 39611 50087 0 70502 0
8485 40269 48902 0 71029 0
8486 40915 47710 0 71575 0
8487 41739 46547 0 71914 0
8488 42688 45514 0 71998 0
8489 43566 44589 0 72045 0
8490 44474 43549 0 72177 0
8491 45561 42591 0 72048 0
8492 46597 41691 0 71912 0
8493 47703 40833 0 71664 0
8494 48811 39994 0 71395 0
8495 50031 39470 0 70699 0
8496 51274 38798 0 70128 0
8497 52562 38195 0 69443 0
8498 53877 37735 0 68588 0
8499 55097 37293 0 67810 0
8500 56459 36857 0 66884 0
8501 57718 36664 0 65818 0
8502 59003 36421 0 64776 0
8503 60280 36259 0 63661 0
8504 61355 36332 0 62513 0
8505 62730 36291 0 61179 0
8506 64077 36221 0 59902 0
8507 65181 36375 0 58644 0
8508 66281 36547 0 57372 0
8509 67361 36770 0 56069 0
8510 68291 37272 0 54637 0
8511 69154 37752 0 53294 0
8512 69972 38247 0 51981 0
8513 70663 38892 0 50645 0
8514 71350 39467 0 49383 0
8515 71997 40026 0 48177 0
8516 72283 40771 0 47146 0
8517 72500 41606 0 46094 0
8518 72779 42468 0 44953 0
8519 72892 43420 0 43888 0
8520 72809 44509 0 42882 0
8521 72786 45370 0 42044 0
8522 72398 46483 0 41319 0
8523 72154 47545 0 40501 0
8524 71629 48806 0 39765 0
8525 71018 50126 0 39056 0
8526 70391 51380 0 38429 0
8527 69602 52800 0 37798 0
8528 68729 54169 0 37302 0
8529 67734 55528 0 36938 0
8530 66801 56813 0 36586 0
8531 65774 58081 0 36345 0
8532 64548 59468 0 36184 0
8533 63331 60725 0 36144 0
8534 62044 62011 0 36145 0
8535 60741 63225 0 36234 0
8536 59462 64422 0 36316 0
8537 58141 65503 0 36556 0
8538 56761 66615 0 36824 0
8539 55507 67525 0 37168 0
8540 54187 68426 0 37587 0
8541 52999 69128 0 38073 0
8542 51775 69827 0 38598 0
8543 50533 70421 0 39246 0
8544 49441 70936 0 39823 0
8545 48243 71406 0 40551 0
8546 47117 71815 0 41268 0
8547 46028 72098 0 42074 0
8548 45071 72165 0 42964 0
8549 44185 72128 0 43887 0
8550 43152 72148 0 44900 0
8551 42236 72017 0 45947 0
8552 41389 71758 0 47053 0
8553 40671 71403 0 48126 0
8554 39961 71074 0 49165 0
8555 39319 70507 0 50374 0
8556 38787 69854 0 51559 0
8557 38375 68960 0 52865 0
8558 38073 68053 0 54074 0
8559 37719 67193 0 55288 0
8560 37384 66266 0 56550 0
8561 37165 65353 0 57682 0
8562 36891 64300 0 59009 0
8563 36789 63092 0 60319 0
8564 36680 61982 0 61538 0
8565 36647 60730 0 62823 0
8566 36760 59491 0 63949 0
8567 36914 58241 0 65045 0
8568 37193 56998 0 66009 0
8569 37532 55682 0 66986 0
8570 37921 54487 0 67792 0
8571 38282 53283 0 68635 0
8572 38793 52010 0 69397 0
8573 39359 50843 0 69998 0
8574 39950 49516 0 70734 0
8575 40680 48358 0 71162 0
8576 41456 47179 0 71565 0
8577 42170 46195 0 71835 0
8578 42924 45349 0 71927 0
8579 43894 44329 0 71977 0
8580 44749 43313 0 72138 0
8581 45770 42349 0 72081 0
8582 46841 41565 0 71794 0
8583 47960 40756 0 71484 0
8584 49078 40026 0 71096 0
8585 50232 39365 0 70603 0
8586 51510 38821 0 69869 0
8587 52860 38392 0 68948 0
8588 54081 38054 0 68065 0
8589 55323 37674 0 67203 0
8590 56624 37392 0 66184 0
8591 57784 37167 0 65249 0
8592 59035 37026 0 64139 0
8593 60162 36982 0 63056 0
8594 61512 36847 0 61841 0
8595 62646 36873 0 60681 0
8596 63724 37092 0 59384 0
8597 64849 37282 0 58069 0
8598 65864 37492 0 56844 0
8599 66794 37832 0 55574 0
8600 67593 38163 0 54444 0
8601 68478 38576 0 53146 0
8602 69193 39082 0 51925 0
8603 69800 39675 0 50725 0
8604 70388 40289 0 49523 0
8605 70759 40902 0 48539 0
8606 71082 41672 0 47446 0
8607 71288 42545 0 46367 0
8608 71301 43506 0 45393 0
8609 71382 44454 0 44364 0
8610 71401 45338 0 43461 0
8611 71241 46374 0 42585 0
8612 70932 47427 0 41841 0
8613 70518 48541 0 41141 0
8614 70025 49753 0 40422 0
8615 69460 50959 0 39781 0
8616 68810 52113 0 39277 0
8617 68113 53261 0 38826 0
8618 67273 54523 0 38404 0
8619 66472 55802 0 37926 0
8620 65531 56979 0 37690 0
8621 64445 58331 0 37424 0
8622 63441 59508 0 37251 0
8623 62346 60675 0 37179 0
8624 61440 61654 0 37106 0
8625 60268 62719 0 37213 0
8626 59045 63900 0 37255 0
8627 57788 65011 0 37401 0
8628 56408 66161 0 37631 0
8629 55191 67086 0 37923 0
8630 54007 67896 0 38297 0
8631 52754 68719 0 38727 0
8632 51435 69506 0 39259 0
8633 50267 70139 0 39794 0
8634 49139 70551 0 40510 0
8635 47947 70981 0 41272 0
8636 46932 71311 0 41957 0
8637 45800 71533 0 42867 0
8638 44730 71708 0 43762 0
8639 43677 71861 0 44662 0
8640 42857 71778 0 45565 0
8641 42071 71529 0 46600 0
8642 41267 71260 0 47673 0
8643 40544 70830 0 48826 0
8644 39833 70253 0 50114 0
8645 39245 69720 0 51235 0
8646 38735 69031 0 52434 0
8647 38251 68095 0 53854 0
8648 37826 67337 0 55037 0
8649 37484 66383 0 56333 0
8650 37230 65351 0 57619 0
8651 37173 64162 0 58865 0
8652 37057 62979 0 60164 0
8653 37120 61712 0 61368 0
8654 37135 60538 0 62527 0
8655 37254 59331 0 63615 0
8656 37379 58102 0 64719 0
8657 37618 56804 0 65778 0
8658 37824 55543 0 66833 0
8659 38246 54315 0 67639 0
8660 38643 53019 0 68538 0
8661 39070 51819 0 69311 0
8662 39595 50748 0 69857 0
8663 40208 49450 0 70542 0
8664 40884 48279 0 71037 0
8665 41786 47094 0 71320 0
8666 42579 46023 0 71598 0
8667 43482 45015 0 71703 0
8668 44350 44047 0 71803 0
8669 45406 43171 0 71623 0
8670 46408 42401 0 71391 0
8671 47530 41537 0 71133 0
8672 48564 40861 0 70775 0
8673 49740 40119 0 70341 0
8674 51029 39493 0 69678 0
8675 52355 38847 0 68998 0
8676 53681 38280 0 68239 0
8677 54911 37887 0 67402 0
8678 56252 37554 0 66394 0
8679 57541 37332 0 65327 0
8680 58735 37169 0 64296 0
8681 59939 37030 0 63231 0
8682 61047 37039 0 62114 0
8683 62251 37031 0 60918 0
8684 63466 37081 0 59653 0
8685 64529 37277 0 58394 0
8686 65467 37487 0 57246 0
8687 66470 37697 0 56033 0
8688 67462 38034 0 54704 0
8689 68306 38385 0 53509 0
8690 68976 38887 0 52337 0
8691 69771 39334 0 51095 0
8692 70406 39967 0 49827 0
8693 70870 40555 0 48775 0
8694 71378 41294 0 47528 0
8695 71663 42166 0 46371 0
8696 71835 43071 0 45294 0
8697 71970 44021 0 44209 0
8698 71966 45017 0 43217 0
8699 71757 46054 0 42389 0
8700 71340 47267 0 41593 0
8701 70888 48391 0 40921 0
8702 70382 49717 0 40101 0
8703 69811 50920 0 39469 0
8704 69189 52122 0 38889 0
8705 68606 53293 0 38301 0
8706 67724 54513 0 37963 0
8707 66823 55790 0 37587 0
8708 65882 57109 0 37209 0
8709 64940 58229 0 37031 0
8710 63894 59466 0 36840 0
8711 62712 60706 0 36782 0
8712 61563 61852 0 36785 0
8713 60364 63002 0 36834 0
8714 59041 64147 0 37012 0
8715 57786 65258 0 37156 0
8716 56461 66230 0 37509 0
8717 55141 67227 0 37832 0
8718 53990 67994 0 38216 0
8719 52613 68870 0 38717 0
8720 51299 69579 0 39322 0
8721 50123 70108 0 39969 0
8722 48859 70720 0 40621 0
8723 47765 71049 0 41386 0
8724 46663 71383 0 42154 0
8725 45705 71579 0 42916 0
8726 44734 71649 0 43817 0
8727 43748 71623 0 44829 0
8728 42748 71519 0 45933 0
8729 41969 71177 0 47054 0
8730 41225 70776 0 48199 0
8731 40584 70282 0 49334 0
8732 39922 69707 0 50571 0
8733 39477 69032 0 51691 0
8734 38999 68280 0 52921 0
8735 38602 67528 0 54070 0
8736 38202 66745 0 55253 0
8737 37841 65880 0 56479 0
8738 37589 64985 0 57626 0
8739 37378 63930 0 58892 0
8740 37257 62879 0 60064 0
8741 37223 61633 0 61344 0
8742 37181 60505 0 62514 0
8743 37311 59285 0 63604 0
8744 37429 58202 0 64569 0
8745 37649 56975 0 65576 0
8746 37936 55673 0 66591 0
8747 38294 54438 0 67468 0
8748 38779 53164 0 68257 0
8749 39213 51822 0 69165 0
8750 39779 50663 0 69758 0
8751 40367 49488 0 70345 0
8752 41100 48412 0 70688 0
8753 41795 47263 0 71142 0
8754 42584 46216 0 71400 0
8755 43422 45225 0 71553 0
8756 44274 44179 0 71747 0
8757 45276 43164 0 71760 0
8758 46433 42248 0 71519 0
8759 47461 41450 0 71289 0
8760 48500 40686 0 71014 0
8761 49676 40035 0 70489 0
8762 50805 39476 0 69919 0
8763 52030 38981 0 69189 0
8764 53326 38440 0 68434 0
8765 54623 37918 0 67659 0
8766 55861 37562 0 66777 0
8767 57023 37355 0 65822 0
8768 58322 37017 0 64861 0
8769 59603 36834 0 63763 0
8770 60912 36648 0 62640 0
8771 62173 36721 0 61306 0
8772 63276 36846 0 60078 0
8773 64544 36901 0 58755 0
8774 65564 37119 0 57517 0
8775 66679 37275 0 56246 0
8776 67672 37561 0 54967 0
8777 68518 38032 0 53650 0
8778 69319 38450 0 52431 0
8779 70057 38973 0 51170 0
8780 70700 39643 0 49857 0
8781 71232 40249 0 48719 0
8782 71730 41050 0 47420 0
8783 72057 41824 0 46319 0
8784 72259 42771 0 45170 0
8785 72226 43783 0 44191 0
8786 72023 44896 0 43281 0
8787 71914 45880 0 42406 0
8788 71636 46927 0 41637 0
8789 71443 47975 0 40782 0
8790 71013 49167 0 40020 0
8791 70492 50278 0 39430 0
8792 69876 51463 0 38861 0
8793 69209 52767 0 38224 0
8794 68231 54162 0 37807 0
8795 67383 55355 0 37462 0
8796 66439 56542 0 37219 0
8797 65387 57913 0 36900 0
8798 64286 59070 0 36844 0
8799 63124 60330 0 36746 0
8800 61898 61692 0 36610 0
8801 60569 62928 0 36703 0
8802 59230 64214 0 36756 0
8803 58020 65379 0 36801 0
8804 56696 66404 0 37100 0
8805 55394 67424 0 37382 0
8806 54130 68310 0 37760 0
8807 52741 69282 0 38177 0
8808 51486 70003 0 38711 0
8809 50273 70689 0 39238 0
8810 48991 71388 0 39821 0
8811 47977 71723 0 40500 0
8812 46845 72045 0 41310 0
8813 45872 72144 0 42184 0
8814 44935 72234 0 43031 0
8815 43935 72408 0 43857 0
8816 42977 72398 0 44825 0
8817 42139 72144 0 45917 0
8818 41338 71740 0 47122 0
8819 40646 71302 0 48252 0
8820 39878 70959 0 49363 0
8821 39213 70341 0 50646 0
8822 38578 69765 0 51857 0
8823 38063 68947 0 53190 0
8824 37635 68093 0 54472 0
8825 37312 67146 0 55742 0
8826 36957 66245 0 56998 0
8827 36638 65304 0 58258 0
